date,dt,new_highs,new_lows,nhnl
20240426,2024-04-26,70,69,1
20240503,2024-05-03,68,33,35
20240510,2024-05-10,78,25,53
20240517,2024-05-17,111,31,80
20240524,2024-05-24,109,106,3
20240531,2024-05-31,73,160,-87
20240607,2024-06-07,55,51,4
20240614,2024-06-14,119,121,-2
20240621,2024-06-21,107,201,-94
20240628,2024-06-28,73,225,-152
20240705,2024-07-05,45,251,-206
20240712,2024-07-12,65,101,-36
20240719,2024-07-19,60,165,-105
20240726,2024-07-26,61,381,-320
20240802,2024-08-02,74,234,-160
20240809,2024-08-09,26,410,-384
20240816,2024-08-16,34,27,7
20240823,2024-08-23,90,34,56
20240830,2024-08-30,56,50,6
20240906,2024-09-06,22,228,-206
20240913,2024-09-13,15,169,-154
20240920,2024-09-20,28,29,-1
20240927,2024-09-27,28,26,2
20241004,2024-10-04,16,40,-24
20241011,2024-10-11,39,48,-9
20241018,2024-10-18,59,110,-51
20241025,2024-10-25,48,305,-257
20241101,2024-11-01,37,118,-81
20241108,2024-11-08,45,107,-62
20241115,2024-11-15,29,779,-750
20241122,2024-11-22,30,160,-130
20241129,2024-11-29,60,133,-73
20241206,2024-12-06,38,556,-518
20241213,2024-12-13,64,360,-296
20241220,2024-12-20,42,18,24
20241227,2024-12-27,27,45,-18
20250103,2025-01-03,13,56,-43
20250110,2025-01-10,46,19,27
20250117,2025-01-17,38,96,-58
20250124,2025-01-24,51,122,-71
20250131,2025-01-31,9,31,-22
20250207,2025-02-07,49,146,-97
20250214,2025-02-14,69,94,-25
20250221,2025-02-21,85,29,56
20250228,2025-02-28,57,45,12
20250307,2025-03-07,58,81,-23
20250314,2025-03-14,56,107,-51
20250321,2025-03-21,47,100,-53
20250328,2025-03-28,17,165,-148
20250404,2025-04-04,32,357,-325
20250411,2025-04-11,42,473,-431
20250418,2025-04-18,55,17,38
20250425,2025-04-25,91,14,77
20250502,2025-05-02,106,9,97
20250509,2025-05-09,81,8,73
20250516,2025-05-16,165,26,139
20250523,2025-05-23,178,91,87
20250530,2025-05-30,274,24,250
20250606,2025-06-06,231,3,228
20250613,2025-06-13,381,3,378
20250620,2025-06-20,251,13,238
20250627,2025-06-27,215,21,194
20250704,2025-07-04,205,12,193
20250711,2025-07-11,406,4,402
20250718,2025-07-18,241,3,238
20250725,2025-07-25,58,14,44
20250801,2025-08-01,56,42,14
20250808,2025-08-08,71,15,56
20250815,2025-08-15,48,11,37
20250822,2025-08-22,55,57,-2
20250829,2025-08-29,84,47,37
20250905,2025-09-05,62,47,15
20250912,2025-09-12,134,5,129
20250919,2025-09-19,122,17,105
20250926,2025-09-26,60,77,-17
20251003,2025-10-03,43,54,-11
20251010,2025-10-10,27,26,1
20251017,2025-10-17,71,62,9
20251024,2025-10-24,136,50,86
20251031,2025-10-31,161,98,63
20251107,2025-11-07,80,185,-105
20251114,2025-11-14,109,25,84
20251121,2025-11-21,72,118,-46
20251128,2025-11-28,64,62,2
20251205,2025-12-05,139,25,114
20251212,2025-12-12,122,30,92
20251219,2025-12-19,79,46,33
20251226,2025-12-26,53,48,5
20260102,2026-01-02,53,63,-10
20260109,2026-01-09,83,194,-111
20260116,2026-01-16,148,81,67
20260123,2026-01-23,180,88,92
20260130,2026-01-30,205,32,173
20260206,2026-02-06,223,51,172
20260213,2026-02-13,394,20,374
20260220,2026-02-20,237,16,221
20260227,2026-02-27,384,42,342
20260306,2026-03-06,41,174,-133
20260313,2026-03-13,59,69,-10
20260320,2026-03-20,123,42,81
20260327,2026-03-27,58,29,29
20260403,2026-04-03,56,75,-19
20260410,2026-04-10,101,48,53
20260417,2026-04-17,162,6,156
20260424,2026-04-24,71,3,68
